,ISG15,IFI6,ISG20,IFIT3,IFIT1,B2M,IFIT2,MT2A,RSAD2,IRF7
0,0.0,0.0,0.37775007,0.0,0.0,4.1653457,0.0,0.0,0.0,0.0
1,0.0,0.0,0.3785239,0.0,0.0,4.1656375,0.0,0.0,0.0,0.0
2,0.0,0.0,0.37929785,0.0,0.0,4.1659303,0.0,0.0,0.0,0.0
3,0.0,0.0,0.38007164,0.0,0.0,4.1662226,0.0,0.0,0.0,0.0
4,0.0,0.0,0.3808455,0.0,0.0,4.166515,0.0,0.0,0.0,0.0
5,0.0,0.0,0.38161927,0.0,0.0,4.1668077,0.0,0.0,0.0,0.0
6,0.0,0.0,0.38239312,0.0,0.0,4.1671,0.0,0.0,0.0,0.0
7,0.0,0.0,0.3831669,0.0,0.0,4.1673923,0.0,0.0,0.0,0.0
8,0.0,0.0,0.38394082,0.0,0.0,4.1676846,0.0,0.0,0.0,0.0
9,0.0,0.0,0.38471463,0.0,0.0,4.167977,0.0,0.0,0.0,0.0
10,0.0,0.0,0.3854884,0.0,0.0,4.168269,0.0,0.0,0.0,0.0
11,0.0,0.0,0.38626236,0.0,0.0,4.168562,0.0,0.0,0.0,0.0
12,0.0,0.0,0.38703617,0.0,0.0,4.168854,0.0,0.0,0.0,0.0
13,0.0,0.0,0.38781,0.0,0.0,4.1691465,0.0,0.0,0.0,0.0
14,0.0,0.0,0.38858378,0.0,0.0,4.1694393,0.0,0.0,0.0,0.0
15,0.0,0.0,0.3893578,0.0,0.0,4.169731,0.0,0.0,0.0,0.0
16,0.0,0.0,0.39013153,0.0,0.0,4.170024,0.0,0.0,0.0,0.0
17,0.0,0.0,0.39090532,0.0,0.0,4.170316,0.0,0.0,0.0,0.0
18,0.0,0.0,0.39167917,0.0,0.0,4.1706085,0.0,0.0,0.0,0.0
19,0.0,0.0,0.39245307,0.0,0.0,4.170901,0.0,0.0,0.0,0.0
20,0.0,0.0,0.39322692,0.0,0.0,4.1711926,0.0,0.0,0.0,0.0
21,0.0,0.0,0.39400077,0.0,0.0,4.171486,0.0,0.0,0.0,0.0
22,0.0,0.0,0.39477462,0.0,0.0,4.171778,0.0,0.0,0.0,0.0
23,0.0,0.0,0.39554852,0.0,0.0,4.17207,0.0,0.0,0.0,0.0
24,0.0,0.0,0.39632216,0.0,0.0,4.172363,0.0,0.0,0.0,0.0
25,0.0,0.0,0.3970963,0.0,0.0,4.1726556,0.0,0.0,0.0,0.0
26,0.0,0.0,0.39787117,0.0,0.0,4.1729503,0.0,0.0,0.0,0.0
27,0.0,0.0,0.39864606,0.0,0.0,4.173245,0.0,0.0,0.0,0.0
28,0.0,0.0,0.39942086,0.0,0.0,4.173539,0.0,0.0,0.0,0.0
