,Reg3b,Reg3g,Apoa1,Guca2b,Zg16,Rpl37,Rpl37a,Oat,Rps28,Rps21
0,1.1743531,1.2554704,0.88371056,0.48662403,0.6176141,3.5528264,3.775509,2.822616,2.360016,2.3016942
1,1.1761196,1.2567397,0.88429904,0.48714313,0.61794436,3.5526848,3.77537,2.8224838,2.3598545,2.301521
2,1.1778853,1.2580091,0.8848867,0.48766106,0.6182739,3.552544,3.7752302,2.8223517,2.359692,2.3013487
3,1.1796495,1.2592784,0.8854723,0.4881764,0.6186027,3.5524025,3.77509,2.822219,2.3595295,2.3011763
4,1.1814135,1.2605479,0.8860584,0.48869205,0.61893153,3.5522609,3.7749493,2.822086,2.359367,2.3010035
5,1.1831777,1.2618175,0.8866444,0.48920777,0.6192602,3.5521197,3.7748096,2.821954,2.3592038,2.300831
6,1.1849422,1.263087,0.8872301,0.48972332,0.6195891,3.5519776,3.7746694,2.8218212,2.359041,2.3006587
7,1.1867063,1.2643564,0.8878161,0.490239,0.6199178,3.551836,3.7745295,2.8216882,2.3588781,2.300486
8,1.1884704,1.2656248,0.8884018,0.4907542,0.6202467,3.5516944,3.774389,2.821556,2.358715,2.3003135
9,1.1902347,1.2668933,0.88898784,0.49126953,0.6205758,3.5515523,3.774248,2.8214238,2.358552,2.3001404
10,1.1919985,1.2681623,0.8895735,0.49178475,0.62090486,3.5514102,3.7741072,2.8212912,2.358389,2.299968
11,1.1937621,1.2694305,0.8901595,0.4923001,0.6212338,3.5512686,3.7739668,2.8211586,2.3582258,2.2997947
12,1.1955264,1.2706995,0.89074534,0.49281555,0.6215628,3.5511265,3.7738273,2.821026,2.358063,2.299622
13,1.1972902,1.2719679,0.89133126,0.49333078,0.62189186,3.5509844,3.7736866,2.8208938,2.3578997,2.299449
14,1.199059,1.2732397,0.89192015,0.49384952,0.62222147,3.5508432,3.773546,2.8207598,2.3577347,2.2992785
15,1.2008357,1.2745168,0.8925143,0.494374,0.62255245,3.550703,3.7734034,2.8206234,2.357566,2.2991114
16,1.2026129,1.2757938,0.8931085,0.49489853,0.62288326,3.5505629,3.7732608,2.8204875,2.357397,2.298945
17,1.2043896,1.2770708,0.89370257,0.49542302,0.6232144,3.5504217,3.7731178,2.8203514,2.3572283,2.2987776
18,1.2061667,1.2783477,0.89429677,0.49594742,0.6235452,3.5502815,3.7729762,2.8202152,2.3570595,2.2986112
19,1.2079375,1.2796179,0.894889,0.49646768,0.6238759,3.5501423,3.772836,2.8200803,2.3568938,2.2984445
20,1.2097037,1.2808824,0.8954816,0.49698564,0.62420666,3.5500045,3.7726958,2.8199449,2.35673,2.2982786
21,1.2114692,1.2821472,0.896074,0.49750352,0.6245373,3.5498672,3.7725549,2.8198094,2.3565662,2.2981122
22,1.2132344,1.2834117,0.89666635,0.49802142,0.62486786,3.5497293,3.7724154,2.819674,2.356402,2.2979465
23,1.2150004,1.2846763,0.89725906,0.49853933,0.62519854,3.5495906,3.7722752,2.8195386,2.3562381,2.29778
24,1.2167654,1.2859404,0.8978511,0.49905708,0.62552917,3.5494533,3.7721345,2.8194034,2.3560743,2.2976143
25,1.2185328,1.2872071,0.89844394,0.49957493,0.62586135,3.5493155,3.7719939,2.8192706,2.3559108,2.2974463
26,1.2202997,1.2884736,0.89903635,0.50009274,0.6261937,3.5491767,3.7718542,2.8191378,2.3557477,2.2972782
27,1.2220669,1.2897403,0.8996291,0.5006106,0.626526,3.5490394,3.7717135,2.8190045,2.3555846,2.29711
28,1.2238333,1.2910067,0.90022165,0.5011283,0.6268584,3.5489006,3.7715738,2.8188717,2.3554215,2.296942
29,1.2256005,1.2922732,0.9008141,0.50164604,0.6271905,3.5487633,3.771434,2.8187394,2.3552585,2.2967737
30,1.2273681,1.2935398,0.9014068,0.50216377,0.6275228,3.5486255,3.7712934,2.8186064,2.3550954,2.2966058
31,1.2291343,1.2948061,0.90199924,0.50268143,0.627855,3.5484867,3.771153,2.8184733,2.354932,2.2964377
32,1.2309015,1.2960727,0.902592,0.50319916,0.62818736,3.5483484,3.771013,2.8183408,2.3547688,2.2962694
33,1.2326689,1.2973394,0.9031844,0.50371706,0.62851965,3.548211,3.7708724,2.8182077,2.3546057,2.2961009
34,1.2344356,1.2986054,0.903777,0.5042348,0.62885195,3.5480723,3.7707324,2.8180745,2.3544428,2.2959335
35,1.2362027,1.2998724,0.9043698,0.5047525,0.6291843,3.547934,3.7705915,2.8179417,2.3542793,2.2957654
36,1.2379694,1.3011389,0.9049622,0.50527036,0.6295165,3.5477962,3.7704523,2.8178086,2.3541162,2.2955968
37,1.2397367,1.3024056,0.9055549,0.5057881,0.6298487,3.547658,3.7703118,2.817676,2.3539531,2.2954285
38,1.2415035,1.3036718,0.90614736,0.50630593,0.63018095,3.5475202,3.7701719,2.8175426,2.3537898,2.2952607
39,1.2432706,1.3049384,0.90673995,0.50682354,0.6305133,3.5473824,3.770031,2.8174105,2.3536267,2.2950926
40,1.2450372,1.3062048,0.9073321,0.50734127,0.6308457,3.5472436,3.769891,2.8172777,2.353464,2.2949247
41,1.2468045,1.3074714,0.9079251,0.5078591,0.6311778,3.5471063,3.7697504,2.8171446,2.3533006,2.2947564
42,1.2485714,1.3087378,0.90851754,0.50837696,0.63151026,3.546968,3.7696104,2.8170116,2.3531373,2.2945883
43,1.2503388,1.3100047,0.90911025,0.5088947,0.6318425,3.5468302,3.76947,2.8168788,2.3529744,2.2944207
44,1.2521055,1.311271,0.9097026,0.50941235,0.63217473,3.546692,3.7693298,2.8167458,2.352811,2.2942517
45,1.2538726,1.3125374,0.9102953,0.5099302,0.632507,3.546554,3.7691891,2.816613,2.3526478,2.2940843
46,1.2556394,1.313804,0.9108879,0.510448,0.63283944,3.5464153,3.7690494,2.8164802,2.352485,2.2939162
47,1.2574062,1.3150705,0.9114804,0.5109657,0.6331716,3.546277,3.7689092,2.8163476,2.3523216,2.293748
48,1.2591805,1.3163387,0.9120712,0.51148415,0.6335095,3.5461402,3.768769,2.8162143,2.3521562,2.2935789
49,1.260956,1.3176074,0.91266185,0.5120027,0.6338482,3.5460033,3.7686281,2.816082,2.3519893,2.2934098
50,1.2627316,1.318876,0.91325253,0.5125213,0.63418686,3.5458665,3.7684884,2.8159492,2.351823,2.2932405
51,1.2645068,1.3201442,0.91384315,0.51303977,0.63452554,3.5457296,3.7683482,2.8158164,2.3516564,2.2930715
52,1.2662823,1.3214128,0.9144336,0.51355827,0.6348642,3.5455928,3.7682078,2.8156838,2.35149,2.2929022
53,1.2680576,1.3226812,0.9150243,0.51407695,0.6352028,3.5454555,3.768068,2.8155513,2.3513236,2.2927334
54,1.2698331,1.3239497,0.9156149,0.51459545,0.6355416,3.5453181,3.7679274,2.8154178,2.351158,2.2925644
55,1.2716084,1.3252183,0.9162053,0.51511407,0.6358802,3.5451803,3.7677872,2.8152857,2.3509915,2.292395
56,1.2733834,1.3264868,0.91679597,0.5156325,0.63621885,3.545044,3.767647,2.8151531,2.3508253,2.2922263
57,1.2751588,1.3277555,0.9173867,0.5161512,0.63655764,3.544907,3.7675068,2.81502,2.3506587,2.2920568
58,1.2769341,1.3290237,0.917977,0.51666975,0.6368962,3.5447702,3.7673666,2.8148875,2.3504927,2.2918875
59,1.278708,1.3302908,0.91856855,0.5171883,0.63723415,3.5446353,3.767228,2.8147557,2.3503277,2.2917187
60,1.2804815,1.3315575,0.9191605,0.51770693,0.63757193,3.5445004,3.7670896,2.8146243,2.350163,2.2915504
61,1.2822549,1.3328239,0.91975254,0.5182256,0.6379098,3.5443664,3.7669508,2.8144932,2.3499985,2.291382
62,1.2840283,1.3340902,0.92034405,0.5187441,0.6382482,3.544232,3.766812,2.8143616,2.349834,2.291214
63,1.285805,1.3353539,0.9209324,0.5192604,0.63859296,3.544097,3.766672,2.8142304,2.3496668,2.2910433
64,1.2875812,1.336617,0.92152053,0.51977664,0.63893735,3.5439625,3.7665322,2.8140988,2.3494997,2.290873
65,1.2893574,1.3378801,0.92210865,0.5202929,0.6392821,3.5438275,3.766392,2.8139668,2.3493333,2.2907019
66,1.2911344,1.3391438,0.92269707,0.5208093,0.6396267,3.543692,3.7662518,2.8138356,2.349166,2.2905314
67,1.2929149,1.3404111,0.9232909,0.5213295,0.6399702,3.5435586,3.766112,2.8137038,2.3489997,2.2903607
68,1.2946968,1.3416786,0.92388546,0.5218503,0.6403135,3.5434237,3.7659729,2.8135724,2.3488343,2.29019
69,1.2964778,1.342946,0.92448,0.52237105,0.6406567,3.5432887,3.765834,2.8134413,2.3486683,2.2900195
70,1.2982593,1.344214,0.92507446,0.5228919,0.6409999,3.5431542,3.7656953,2.81331,2.3485024,2.2898488
71,1.3000405,1.3454814,0.9256689,0.5234126,0.6413433,3.5430198,3.765556,2.8131788,2.348337,2.289678
72,1.301822,1.3467491,0.9262637,0.5239335,0.6416865,3.5428853,3.7654164,2.813047,2.3481703,2.2895076
73,1.3036039,1.3480169,0.9268581,0.52445424,0.6420299,3.5427508,3.765278,2.8129158,2.3480046,2.2893367
74,1.3053854,1.3492846,0.92745286,0.52497506,0.6423731,3.542616,3.7651393,2.812785,2.347839,2.289166
75,1.3071663,1.3505524,0.92804736,0.52549565,0.6427162,3.5424814,3.7650006,2.8126535,2.3476727,2.2889953
76,1.3089476,1.3518198,0.92864174,0.52601653,0.64305973,3.542347,3.7648609,2.8125224,2.3475068,2.2888243
